# List of international goals scored by Mohamed Salah
No.,Date,Venue,Cap,Opponent,Score,Result,Competition,Ref.
21,15 October 2014,"Cairo International Stadium, Cairo, Egypt",34,Botswana,2–0,2–0,2015 Africa Cup of Nations qualification,
22,19 November 2014,"Mustapha Ben Jannet Stadium, Monastir, Tunisia",36,Tunisia,1–0,1–2,2015 Africa Cup of Nations qualification,
23,14 June 2015,"Borg El Arab Stadium, Alexandria, Egypt",38,Tanzania,3–0,3–0,2017 Africa Cup of Nations qualification,
24,6 September 2015,"Stade Omnisports Idriss Mahamat Ouya, N'Djamena, Chad",39,Chad,3–1,5–1,2017 Africa Cup of Nations qualification,
25,25 March 2016,"Ahmadu Bello Stadium, Kaduna, Nigeria",41,Nigeria,1–1,1–1,2017 Africa Cup of Nations qualification,
26,4 June 2016,"National Stadium, Dar es Salaam, Tanzania",43,Tanzania,1–0,2–0,2017 Africa Cup of Nations qualification,
27,4 June 2016,"National Stadium, Dar es Salaam, Tanzania",43,Tanzania,2–0,2–0,2017 Africa Cup of Nations qualification,
28,9 October 2016,"Stade Municipal de Kintélé, Brazzaville, Republic of the Congo",45,Congo,1–1,2–1,2018 FIFA World Cup qualification,
29,13 November 2016,"Borg El Arab Stadium, Alexandria, Egypt",46,Ghana,1–0,2–0,2018 FIFA World Cup qualification,
30,25 January 2017,"Stade de Port-Gentil, Port-Gentil, Gabon",50,Ghana,1–0,1–0,2017 Africa Cup of Nations,
31,1 February 2017,"Stade de l'Amitié, Libreville, Gabon",52,Burkina Faso,1–0,1–1 (4–3 p),2017 Africa Cup of Nations,
32,5 September 2017,"Borg El Arab Stadium, Alexandria, Egypt",56,Uganda,1–0,1–0,2018 FIFA World Cup qualification,
33,8 October 2017,"Borg El Arab Stadium, Alexandria, Egypt",57,Congo,1–0,2–1,2018 FIFA World Cup qualification,
34,8 October 2017,"Borg El Arab Stadium, Alexandria, Egypt",57,Congo,2–1,2–1,2018 FIFA World Cup qualification,
35,23 March 2018,"Letzigrund, Zürich, Switzerland",58,Portugal,1–0,1–2,Friendly,
36,19 June 2018,"Krestovsky Stadium, Saint Petersburg, Russia",59,Russia,1–3,1–3,2018 FIFA World Cup,
37,25 June 2018,"Volgograd Arena, Volgograd, Russia",60,Saudi Arabia,1–0,1–2,2018 FIFA World Cup,
38,8 September 2018,"Borg El Arab Stadium, Alexandria, Egypt",61,Niger,3–0,6–0,2019 Africa Cup of Nations qualification,
39,8 September 2018,"Borg El Arab Stadium, Alexandria, Egypt",61,Niger,5–0,6–0,2019 Africa Cup of Nations qualification,
40,12 October 2018,"Al Salam Stadium, Cairo, Egypt",62,Eswatini,4–0,4–1,2019 Africa Cup of Nations qualification,
41,16 November 2018,"Borg El Arab Stadium, Alexandria, Egypt",63,Tunisia,3–2,3–2,2019 Africa Cup of Nations qualification,
42,26 June 2019,"Cairo International Stadium, Cairo, Egypt",66,DR Congo,2–0,2–0,2019 Africa Cup of Nations qualification,
43,30 June 2019,"Cairo International Stadium, Cairo, Egypt",67,Uganda,1–0,2–0,2019 Africa Cup of Nations qualification,
44,29 March 2021,"Cairo International Stadium, Cairo, Egypt",70,Comoros,3–0,4–0,2021 Africa Cup of Nations qualification,
45,29 March 2021,"Cairo International Stadium, Cairo, Egypt",70,Comoros,4–0,4–0,2021 Africa Cup of Nations qualification,
46,15 January 2022,"Roumdé Adjia Stadium, Garoua, Cameroon",77,Guinea-Bissau,1–0,1–0,2021 Africa Cup of Nations,
47,30 January 2022,"Ahmadou Ahidjo Stadium, Yaoundé, Cameroon",80,Morocco,1–1,2–1 (a.e.t.),2021 Africa Cup of Nations,
48,23 September 2022,"Alexandria Stadium, Alexandria, Egypt",86,Niger,1–0,3–0,Friendly,
49,23 September 2022,"Alexandria Stadium, Alexandria, Egypt",86,Niger,3–0,3–0,Friendly,
50,24 March 2023,"30 June Stadium, Cairo, Egypt",88,Malawi,1–0,2–0,2023 Africa Cup of Nations qualification,
51,28 March 2023,"Bingu National Stadium, Lilongwe, Malawi",89,Malawi,3–0,4–0,2023 Africa Cup of Nations qualification,
52,16 November 2023,"Cairo International Stadium, Cairo, Egypt",94,Djibouti,1–0,6–0,2026 FIFA World Cup qualification,
53,16 November 2023,"Cairo International Stadium, Cairo, Egypt",94,Djibouti,2–0,6–0,2026 FIFA World Cup qualification,
54,16 November 2023,"Cairo International Stadium, Cairo, Egypt",94,Djibouti,3–0,6–0,2026 FIFA World Cup qualification,
55,16 November 2023,"Cairo International Stadium, Cairo, Egypt",94,Djibouti,4–0,6–0,2026 FIFA World Cup qualification,
56,14 January 2024,"Felix Houphouet Boigny Stadium, Abidjan, Ivory Coast",97,Mozambique,2–2,2–2,2023 Africa Cup of Nations,
57,10 June 2024,"Estádio 24 de Setembro, Bissau, Guinea-Bissau",100,Guinea-Bissau,1–1,1–1,2026 FIFA World Cup qualification,
58,10 September 2024,"Obed Itani Chilume Stadium, Francistown, Botswana",102,Botswana,3–0,4–0,2025 Africa Cup of Nations qualification,
59,11 October 2024,"Cairo International Stadium, Cairo, Egypt",103,Mauritania,2–0,2–0,2025 Africa Cup of Nations qualification,
60,21 March 2025,"Larbi Zaouli Stadium, Casablanca, Morocco",104,Ethiopia,1–0,2–0,2026 FIFA World Cup qualification,
61,5 September 2025,"Cairo International Stadium, Cairo, Egypt",106,Ethiopia,1–0,2–0,2026 FIFA World Cup qualification,
