# List of international goals scored by Edinson Cavani
No.,Date,Venue,Opponent,Score,Result,Competition
33,6 September 2016,"Estadio Centenario, Montevideo, Uruguay",Paraguay,1–0,4–0,2018 FIFA World Cup qualification
34,6 September 2016,"Estadio Centenario, Montevideo, Uruguay",Paraguay,4–0,4–0,2018 FIFA World Cup qualification
35,6 October 2016,"Estadio Centenario, Montevideo, Uruguay",Venezuela,2–0,3–0,2018 FIFA World Cup qualification
36,6 October 2016,"Estadio Centenario, Montevideo, Uruguay",Venezuela,3–0,3–0,2018 FIFA World Cup qualification
37,15 November 2016,"Estadio Nacional Julio Martínez Prádanos, Santiago, Chile",Chile,1–0,1–3,2018 FIFA World Cup qualification
38,23 March 2017,"Estadio Centenario, Montevideo, Uruguay",Brazil,1–0,1–4,2018 FIFA World Cup qualification
39,10 October 2017,"Estadio Centenario, Montevideo, Uruguay",Bolivia,2–1,4–2,2018 FIFA World Cup qualification
40,14 November 2017,"Ernst-Happel-Stadion, Vienna, Austria",Austria,1–1,1–2,Friendly
41,23 March 2018,"Guangxi Sports Center, Nanning, China",Czech Republic,2–0,2–0,2018 China Cup
42,26 March 2018,"Guangxi Sports Center, Nanning, China",Wales,1–0,1–0,2018 China Cup
43,25 June 2018,"Cosmos Arena, Samara, Russia",Russia,3–0,3–0,2018 FIFA World Cup
44,30 June 2018,"Fisht Olympic Stadium, Sochi, Russia",Portugal,1–0,2–1,2018 FIFA World Cup
45,30 June 2018,"Fisht Olympic Stadium, Sochi, Russia",Portugal,2–1,2–1,2018 FIFA World Cup
46,16 October 2018,"Saitama Stadium 2002, Saitama, Japan",Japan,2–2,3–4,Friendly
47,16 June 2019,"Estádio Mineirão, Belo Horizonte, Brazil",Ecuador,2–0,4–0,2019 Copa América
48,24 June 2019,"Estádio do Maracanã, Rio de Janeiro, Brazil",Chile,1–0,1–0,2019 Copa América
49,15 November 2019,"Puskás Aréna, Budapest, Hungary",Hungary,1–0,2–1,Friendly
50,18 November 2019,"Bloomfield Stadium, Tel Aviv, Israel",Argentina,1–0,2–2,Friendly
51,13 November 2020,"Estadio Metropolitano Roberto Meléndez, Barranquilla, Colombia",Colombia,1–0,3–0,2022 FIFA World Cup qualification
52,24 June 2021,"Arena Pantanal, Cuiabá, Brazil",Bolivia,2–0,2–0,2021 Copa América
53,28 June 2021,"Estádio Olímpico Nilton Santos, Rio de Janeiro, Brazil",Paraguay,1–0,1–0,2021 Copa América
54,1 February 2022,"Estadio Centenario, Montevideo, Uruguay",Venezuela,3–0,4–1,2022 FIFA World Cup qualification
55,2 June 2022,"State Farm Stadium, Glendale, United States",Mexico,2–0,3–0,Friendly
56,2 June 2022,"State Farm Stadium, Glendale, United States",Mexico,3–0,3–0,Friendly
57,11 June 2022,"Estadio Centenario, Montevideo, Uruguay",Panama,1–0,5–0,Friendly
58,11 June 2022,"Estadio Centenario, Montevideo, Uruguay",Panama,2–0,5–0,Friendly
