# List of international goals scored by Son Heung-min
No.,Date,Venue,Cap,Opponent,Score,Result,Competition,Ref.
28,7 October 2021,"Ansan Wa~ Stadium, Ansan, South Korea",93,Syria,2–1,2–1,2022 FIFA World Cup qualification,
29,12 October 2021,"Azadi Stadium, Tehran, Iran",94,Iran,1–0,1–1,2022 FIFA World Cup qualification,
30,16 November 2021,"Thani bin Jassim Stadium, Al Rayyan, Qatar",96,Iraq,2–0,3–0,2022 FIFA World Cup qualification,
31,24 March 2022,"Seoul World Cup Stadium, Seoul, South Korea",97,Iran,1–0,2–0,2022 FIFA World Cup qualification,
32,6 June 2022,"Daejeon World Cup Stadium, Daejeon, South Korea",100,Chile,2–0,2–0,Friendly,
33,10 June 2022,"Suwon World Cup Stadium, Suwon, South Korea",101,Paraguay,2–1,2–2,Friendly,
34,23 September 2022,"Goyang Stadium, Goyang, South Korea",103,Costa Rica,2–2,2–2,Friendly,
35,27 September 2022,"Seoul World Cup Stadium, Seoul, South Korea",104,Cameroon,1–0,1–0,Friendly,
36,24 March 2023,"Ulsan Munsu Football Stadium, Ulsan, South Korea",109,Colombia,1–0,2–2,Friendly,
37,24 March 2023,"Ulsan Munsu Football Stadium, Ulsan, South Korea",109,Colombia,2–0,2–2,Friendly,
38,17 October 2023,"Suwon World Cup Stadium, Suwon, South Korea",114,Vietnam,4–0,6–0,Friendly,
39,16 November 2023,"Seoul World Cup Stadium, Seoul, South Korea",115,Singapore,3–0,5–0,2026 FIFA World Cup qualification,
40,21 November 2023,"Shenzhen Universiade Sports Centre, Shenzhen China",116,China,1–0,3–0,2026 FIFA World Cup qualification,
41,21 November 2023,"Shenzhen Universiade Sports Centre, Shenzhen China",116,China,2–0,3–0,2026 FIFA World Cup qualification,
42,20 January 2024,"Al Thumama Stadium, Doha, Qatar",119,Jordan,1–0,2–2,2023 AFC Asian Cup,
43,25 January 2024,"Al Janoub Stadium, Al Wakrah, Qatar",120,Malaysia,3–2,3–3,2023 AFC Asian Cup,
44,2 February 2024,"Al Janoub Stadium, Al Wakrah, Qatar",122,Australia,2–1,2–1 (a.e.t.),2023 AFC Asian Cup,
45,21 March 2024,"Seoul World Cup Stadium, Seoul, South Korea",124,Thailand,1–0,1–1,2026 FIFA World Cup qualification,
46,26 March 2024,"Rajamangala Stadium, Bangkok, Thailand",125,Thailand,2–0,3–0,2026 FIFA World Cup qualification,
47,6 June 2024,"National Stadium, Kallang, Singapore",126,Singapore,3–0,7–0,2026 FIFA World Cup qualification,
48,6 June 2024,"National Stadium, Kallang, Singapore",126,Singapore,5–0,7–0,2026 FIFA World Cup qualification,
49,10 September 2024,"Sultan Qaboos Sports Complex, Muscat, Oman",129,Oman,2–1,3–1,2026 FIFA World Cup qualification,
50,14 November 2024,"Jaber Al-Ahmad International Stadium, Kuwait City, Kuwait",130,Kuwait,2–0,3–1,2026 FIFA World Cup qualification,
51,19 November 2024,"Amman International Stadium, Amman, Jordan",131,Palestine,1–1,1–1,2026 FIFA World Cup qualification,
52,6 September 2025,"Sports Illustrated Stadium, Harrison, United States",135,United States,1–0,2–0,Friendly,
53,9 September 2025,"Geodis Park, Nashville, United States",136,Mexico,1–1,2–2,Friendly,
